index,tide
0,0.7887409071147101
1,0.8415236764711245
2,0.6421924410367067
3,0.5758174536623832
4,0.6675942575085408
5,0.6648684573130892
6,0.7015914158775868
7,0.6099909906704877
8,0.5461133001733672
9,0.8296215681732315
10,0.6922688152615816
11,0.7803490596914319
12,0.9267695139799959
13,0.47833916472949134
14,0.7712034613864794
15,0.625560807379425
16,0.7922552421366539
17,0.7750467839777001
18,0.587292427105659
19,0.47465364664377796
20,0.5563514357117249
21,0.7235859064447563
22,0.9219997702542663
23,0.879309433204671
24,0.755593119527314
25,0.8626343774151434
26,0.6435967981181163
27,0.7777400821773595
28,0.8921616232679352
29,0.6085881073134392
30,0.7290804835239116
31,1.101515713046274
32,0.8176915082201511
33,0.69430202791069
34,0.6154622279682078
35,0.5357629771285671
36,0.9697195990016693
37,0.6804555866753172
38,0.6826201201776119
39,0.8345320022433367
40,0.6990303758848364
41,0.6035339522179539
42,0.42782956956361073
43,0.6001699493727776
44,1.0713898194163345
45,0.6493984634714627
46,0.6202405038351654
47,0.7248131679805208
48,0.9743377211996621
49,0.8855547926702311
50,0.8484722736190065
51,0.7744615446843656
52,0.5662553471932104
53,0.5849993276283736
54,0.6256755321361668
55,0.7771621687419819
56,0.7231154819477936
57,0.6163722877664738
58,0.8343252417451256
59,0.8120364610010238
60,0.7929889814568329
61,0.48065682059385234
62,0.5279633433019231
63,0.5748083755104823
64,0.5606181148816327
65,1.0026815453334377
66,0.788248893840955
67,0.9831494517005591
68,0.36203443767471194
69,0.6429313233524869
70,0.6487685865116241
71,1.0138585666794149
72,1.1144304710496606
73,0.9121593472194128
74,0.6802563975550885
75,0.7485745229575569
76,0.7633362738772647
77,0.7238720609798617
78,0.5876152621002158
79,0.8141576488619795
80,0.6465866539863234
81,0.9107119837071352
82,0.5351218278883784
83,0.6866236172161744
84,0.608678816098347
85,1.0416057188346823
86,0.8283186646731412
87,0.5472421351217611
88,0.6604975859658809
89,0.4909335023325986
90,0.9017335400856422
91,0.5533290031891972
92,0.6167143758711285
93,0.6929295117133785
94,0.5746793414452654
95,0.6503585406830076
96,0.6250311891477432
97,0.490942004698083
98,0.6410597243686458
99,1.013934110225912
100,0.6679368767589324
101,0.698423614753373
102,0.8933862536300092
103,0.47420246843566943
104,0.6988650365486092
105,0.5754229097810973
106,0.36556208791641037
107,0.8452966078702328
108,1.0055342002662617
109,0.5103853759896637
110,0.8035413105186192
111,0.47061073725539154
112,0.6497219426700919
113,0.6402909740739332
114,0.8416555428164351
115,0.7375696820322039
116,0.7256536071597123
117,0.7011082882801928
118,0.9453581386115227
119,0.8265448108264919
120,0.5934646037604964
121,0.7235596118553141
122,0.574043844652239
123,0.724963616391215
124,0.6283603472053365
125,0.5791117538224081
126,0.9742648836846325
127,0.7306870668867279
128,0.8108052982316144
129,0.6504334804062124
130,0.9338306118667942
131,0.5293410139062471
132,0.7155872377127114
133,0.6363226917061273
134,0.8761712141621891
135,0.4230771475971765
136,0.7772271962805756
137,0.6027515753360302
138,0.9812986362716019
139,0.7586960392764281
140,0.676798254183458
141,0.9250605848874276
142,0.4132888144021982
143,0.7840607238812922
144,0.7917578642503332
145,0.7697344475761402
146,0.7650438469765306
147,0.6598595176073708
148,0.8353877281281252
149,0.9369532717676711
150,0.7220898467927335
151,0.7926791204857321
152,0.5531406985214489
153,0.6144286178235947
154,0.5286823986728356
155,0.4274907656382807
156,0.7333271132684841
157,0.6595378115756885
158,0.7048805707263791
159,0.9443955374646155
160,0.4960309405414601
161,0.5451010161483409
162,0.7008721426175116
163,0.5793299471989579
164,0.7029748706811977
165,0.8222308096549511
166,0.6163169025619937
167,0.8032073532967301
168,0.6028118164156723
169,0.737205701219137
170,0.7187479725477429
171,0.8639800613326606
172,0.6724090095224078
173,0.7299069285248904
174,0.38078047101172957
175,0.883758263436265
176,0.4449393881154196
177,0.5646309689518891
178,0.7227034671443979
179,0.5778561197230209
180,0.5960432010345094
181,0.8767619678936086
182,0.5689187350719818
183,0.8062006820869149
184,0.5943721610688735
185,0.680575583685925
186,0.5594044114184163
187,0.6688974791754312
188,0.7129421006080766
189,0.8203322242658505
190,0.5840978661480738
191,0.6617908599510524
192,0.5676562812640888
193,1.0565664126797838
194,0.6027382687272987
195,0.6007642730953106
196,0.389102508800477
197,0.6863271186446654
198,0.8389399996982079
199,0.8085163359740651
200,0.39921479561584977
